epoch,var_loss,var_acc
1,0.0011139857165256791,24.821730681298575
2,0.002830381267568235,29.959762231367176
3,0.005392187163721175,109.16346593507087
4,0.008006308173268695,221.81641518061278
5,0.010826464889865661,121.166895290352
6,0.013481595085341025,138.02674897119329
7,0.015661687657603944,119.0128600823045
8,0.01780404375400633,52.67489711934161
9,0.019376480618179835,61.10859625057159
10,0.021077758310234448,51.149748513946044
11,0.022676042555744833,19.49336991312298
12,0.02231880199739278,12.094192958390492
13,0.0254899919186688,13.004629629629614
14,0.026700579733884636,13.278692272519427
15,0.027192839304446218,11.884773662551437
16,0.028112624151711414,12.1995884773663
17,0.028300239804315796,10.519032921810696
18,0.02950418943799051,12.041666666666666
19,0.027565819232550418,10.519032921810732
20,0.02909458085808785,8.516003657978976
21,0.030591992647286643,1.104309556470052
22,0.03133300685550622,0.19227251943301402
23,0.03127952635221084,0.19895976223136813
24,0.03168226898266415,0.2642889803383602
25,0.028020983183382336,0.4527320530406973
26,0.031017688772338986,0.2642889803383602
27,0.03228792793000388,0.05144032921810465
28,0.03202814751860924,0.7427983539094672
29,0.03215746451810011,1.7906378600823132
30,0.03228421999912011,0.09607910379515144
31,0.03313254214223153,0.018518518518519572
32,0.03317937328474777,0.05144032921810728
33,0.03247013814504152,0.04481024234110662
34,0.03148830365007765,0.014631915866483195
35,0.033370392335256925,0.014631915866486003
36,0.03426851880680105,0.08693415637860234
37,0.034161188766679694,0.3129858253315027
38,0.03402845685408414,0.03292181069959456
39,0.03372845424421928,0.07001600365798295
40,0.03375240175093687,0.051440329218112556
41,0.03436458303298797,0.030235482395977942
42,0.03175484921480052,0.05144032921810728
43,0.03338762400214132,0.21267718335620245
44,0.03294538412245026,0.03863740283493362
45,0.03158556445150798,0.058527663465935596
46,0.031655232106753965,0.027663465935072445
47,0.031487561994535646,0.12625743026977077
48,0.03097138496397055,0.09144947416552875
49,0.02994578379677759,0.10568129858253161
50,0.029776097890283227,0.04481024234110662
